id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
69074,Beautiful oasis of plants & art @ best location,160139,Amy,,Central & Western,22.28352,114.15018,Entire home/apt,1409,3,132,2019-09-05,1.26,1,173
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,,Islands,22.20022,114.13461,Entire home/apt,431,2,11,2019-06-09,0.62,1,19
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28407,114.1557,Entire home/apt,853,2,262,2019-07-22,2.61,12,329
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28868,114.14494,Entire home/apt,1057,2,263,2019-08-15,2.64,12,323
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.28343,114.15539,Entire home/apt,939,2,27,2015-06-30,0.27,1,0
163214,50m2 nest in Central/Sheung Wan!,767910,Pierre,,Central & Western,22.28494,114.15251,Entire home/apt,1049,5,0,,,1,84
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28651,114.14874,Entire home/apt,697,2,213,2019-08-27,2.17,12,298
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28694,114.14855,Entire home/apt,775,2,219,2019-09-05,2.22,12,334
228510,Creative Residence in Yau Ma Tei,1192493,Michael,,Yau Tsim Mong,22.30983,114.16911,Private room,697,1,17,2017-02-08,0.18,1,365
239788,Room nearby 4-stars Hotel for HKD 350!!!,1256401,Eric,,Yuen Long,22.45758,114.0059,Private room,352,3,4,2017-03-23,0.05,1,0
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28291,114.15137,Entire home/apt,994,1,155,2019-09-08,1.61,1,204
262212,Wan Chai MTR Open Studio: 1-4 Guests 460SF,1375696,C S,,Wan Chai,22.27626,114.17293,Entire home/apt,1315,1,73,2019-03-31,0.77,18,0
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.27757,114.15205,Private room,4306,10,0,,,1,0
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.2794,114.17118,Entire home/apt,1080,2,234,2019-08-26,2.48,1,345
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.28359,114.13138,Entire home/apt,900,2,41,2019-04-23,0.43,5,333
278277,FANTASTIC (HK) in the heart of HK,1452499,Sally,,Wan Chai,22.27938,114.17368,Entire home/apt,861,3,244,2019-08-26,2.58,6,300
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.28317,114.15028,Entire home/apt,626,2,22,2016-06-20,0.23,1,0
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.28114,114.15306,Entire home/apt,783,1,34,2018-09-29,0.49,1,0
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28222,114.15448,Entire home/apt,1041,30,20,2015-08-14,0.21,1,263
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27599,114.17976,Private room,1002,1,15,2015-11-14,0.16,18,67
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.27711,114.17772,Entire home/apt,2255,1,103,2019-07-23,1.13,18,176
354442,5500 sq ft family home in Hong Kong,1794577,Simon,,Southern,22.26791,114.12554,Entire home/apt,2497,5,2,2018-06-26,0.07,1,0
405722,Soho/ Mid-levels Apt For Rental ,2022316,Tereza,,Central & Western,22.2816,114.15042,Entire home/apt,1018,1,0,,,1,0
410921,SUITE 1: Next to South Pacific Hotel,1375696,C S,,Wan Chai,22.27736,114.17949,Private room,783,1,18,2017-10-06,0.20,18,67
412404,Budget Apt 1-5 px Tsim Sha Tsui Mtr,1991696,Gigi,,Yau Tsim Mong,22.29701,114.17138,Entire home/apt,548,1,221,2019-08-10,3.54,3,347
415520,"Nice, Harmony & Cozy Apt (2 Brs, 578 g.s.f) Jordan",1564983,Patrick,,Yau Tsim Mong,22.30598,114.1659,Entire home/apt,1088,3,446,2019-08-31,5.24,2,132
442781,Spacious Lofty and Modern Apartment,2200572,Edouard,,Central & Western,22.28756,114.13367,Entire home/apt,1245,5,10,2019-09-09,4.76,1,0
459463,Wifi Causeway Bay petit home by MTR,2283777,Jennifer,,Wan Chai,22.27732,114.18291,Entire home/apt,321,1,74,2019-02-10,1.12,16,357
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28753,114.14308,Entire home/apt,1300,3,20,2019-01-02,0.23,1,262
468754,3 Bedrooms Apt Near Times Square,2254012,Chloe,,Wan Chai,22.28073,114.17838,Entire home/apt,1104,3,198,2019-08-20,2.22,1,139
470946,Studio@waterfront+Sleep4+Island East+MTR station,2336819,Han,,Eastern,22.2836,114.22203,Entire home/apt,869,2,174,2019-08-18,1.95,2,178
481671,Cozy apart in the heart of SW!,2379932,Emilie,,Central & Western,22.28571,114.15166,Entire home/apt,298,15,0,,,1,0
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.32193,114.16213,Entire home/apt,540,4,60,2019-02-09,0.71,1,360
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.23697,114.11059,Entire home/apt,579,5,30,2017-11-09,0.43,2,0
505160,"Apartment located in Stanley, H.K.",1443229,Alice,,Southern,22.21972,114.209,Entire home/apt,705,3,20,2019-06-17,0.32,5,359
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28356,114.14835,Entire home/apt,877,1,189,2019-06-24,2.13,1,298
529539,Great apartment in Causeway Bay!,2192939,Tim,,Wan Chai,22.27763,114.18318,Entire home/apt,799,5,8,2019-02-12,0.16,2,91
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.28403,114.14192,Entire home/apt,1002,1,12,2015-12-30,0.16,2,0
541487,Great TsT View apartment in Jordan,2661975,Kk Sin,,Yau Tsim Mong,22.30356,114.17175,Entire home/apt,697,5,75,2017-07-19,0.86,2,365
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.28276,114.12848,Entire home/apt,752,5,2,2015-02-15,0.03,1,0
547540,無敵美景木球會二房一廳露台單位,2661975,Kk Sin,,Yau Tsim Mong,22.30193,114.17506,Entire home/apt,1300,6,98,2018-02-04,1.13,2,365
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28505,114.14211,Entire home/apt,540,2,178,2019-09-07,2.06,3,340
554138,bright and (quiet) artist studio,635161,Cedric,,Central & Western,22.28378,114.1476,Entire home/apt,877,2,8,2019-01-03,0.11,1,49
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.3136,114.18918,Private room,274,2,229,2019-08-30,2.61,1,348
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27787,114.17678,Shared room,172,1,111,2019-07-31,1.32,64,364
562775,Mixed Dorm Bed#2/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27931,114.17663,Shared room,282,1,217,2019-09-07,4.54,64,356
562795,Mixed Dorm Bed#3/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27939,114.17777,Shared room,282,1,43,2019-06-12,0.90,64,365
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27762,114.17624,Shared room,282,1,25,2019-06-14,0.53,64,365
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27706,114.17589,Shared room,282,1,160,2019-09-11,1.84,64,364
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27759,114.17671,Shared room,282,1,28,2019-05-08,0.32,64,365
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25386,113.864,Hotel room,1762,1,8,2019-05-03,0.15,4,98
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846,114.17233,Entire home/apt,446,1,294,2019-07-28,3.40,3,304
598668,Stylish room in Causeway Bay,2961152,Lin,,Wan Chai,22.28124,114.18418,Private room,399,28,3,2016-02-01,0.03,6,365
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25593,113.86183,Hotel room,1159,1,24,2019-09-01,0.37,4,96
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25437,113.8637,Hotel room,877,1,15,2019-08-14,0.21,4,88
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.25409,113.86228,Hotel room,634,1,55,2019-09-15,0.76,4,92
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.29378,114.01458,Entire home/apt,1198,2,90,2019-09-17,19.15,1,0
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631,114.00862,Entire home/apt,1652,2,159,2019-08-26,1.84,1,132
617035,"2 bedroom, Huge living space, 10 mins walk to MTR",2711873,Shirley,,Kwai Tsing,22.36802,114.13212,Entire home/apt,618,14,12,2019-08-18,0.14,1,288
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.28387,114.14753,Entire home/apt,1198,5,28,2016-03-23,0.33,1,0
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.27811,114.17354,Entire home/apt,1002,180,19,2013-08-31,0.22,1,365
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32619,114.16461,Shared room,227,1,143,2019-09-10,1.68,5,78
645950,"Ladies Street, 2 BR, MongKok MTR",3052154,Owen,,Yau Tsim Mong,22.31629,114.1706,Entire home/apt,1002,4,164,2019-07-24,1.91,3,152
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32612,114.1647,Private room,446,1,36,2019-02-16,0.42,5,8
655190, TimesSquare  1min away! 1BdRm Aprt,808933,J,,Wan Chai,22.27871,114.18142,Entire home/apt,697,2,171,2019-06-24,2.04,3,325
668338,"Clean 5mins to MTR walk up 1f, Rm 1",3383055,Kiki,,Yau Tsim Mong,22.31128,114.16836,Private room,298,1,107,2019-02-06,1.26,10,365
669310,Cosy studio in Sheung Wan. 30sec to MTR.,2083001,Krystal & Ryan,,Central & Western,22.28616,114.15247,Entire home/apt,853,2,185,2019-08-30,2.77,6,319
672039,"Clean 5mins to MTR walk up 1f, Rm 2",3383055,Kiki,,Yau Tsim Mong,22.31008,114.17026,Private room,352,1,150,2019-03-17,1.77,10,337
682768,"Clean 5mins to MTR walk up 1f, Rm 3",3383055,Kiki,,Yau Tsim Mong,22.30942,114.1685,Private room,298,1,139,2019-08-22,1.64,10,354
682794,"Clean 5mins to MTR walk up 1f, Rm 4",3383055,Kiki,,Yau Tsim Mong,22.31145,114.16845,Private room,298,1,138,2019-09-07,1.64,10,326
682797,"Clean 5mins to MTR walk up 1f, Rm 5",3383055,Kiki,,Yau Tsim Mong,22.31082,114.17003,Private room,298,1,208,2019-08-02,2.44,10,345
711099,Sharing the sofa of a local family. (Female only),3659684,MiMi,,Yuen Long,22.43497,114.00188,Shared room,399,28,0,,,1,365
714585,Group Favour (DH) in Wan Chai,1452499,Sally,,Wan Chai,22.27904,114.17084,Entire home/apt,1057,3,248,2019-08-13,2.99,6,308
719274,"Monthly rental, City centre",3707765,Amy,,Wan Chai,22.28519,114.19192,Private room,650,2,0,,,6,365
720841,"Tidy quiet 3 m to Jordan MTR, 15 m to Poly U, Rm 8",3383055,Kiki,,Yau Tsim Mong,22.30599,114.1712,Private room,298,1,30,2018-12-17,0.36,10,263
724382,"Tidy, quiet Room 6, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30745,114.17138,Private room,384,1,212,2019-08-24,2.51,7,311
724428,"Tidy, quiet Room 7, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30759,114.17105,Private room,384,1,155,2019-03-03,1.85,7,81
724853,"Tidy, quiet Room 9, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.3062,114.17224,Private room,337,1,113,2019-06-27,1.34,7,315
724874,"Tidy, quiet Room 8, near MTR, Poly University",3704487,Daniel,,Yau Tsim Mong,22.30615,114.17108,Private room,337,1,193,2019-08-13,2.31,7,266
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31692,114.1699,Private room,321,28,9,2019-08-30,0.11,4,97
728126,Harbor View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31618,114.16924,Private room,391,28,17,2017-10-08,0.22,4,0
730356,Clean coxy 30 sec to Jordan MTR Rm6,3383055,Kiki,,Yau Tsim Mong,22.30757,114.17139,Private room,501,1,19,2017-12-15,0.23,10,365
730367,Clean coxy 30 sec to Jordan MTR Rm7,3383055,Kiki,,Yau Tsim Mong,22.30761,114.17112,Private room,446,1,24,2019-04-06,0.29,10,365
730379,"Tidy quiet near Jordan MTR Poly University, Rm 9",3383055,Kiki,,Yau Tsim Mong,22.30618,114.17221,Private room,470,1,22,2016-10-05,0.26,10,365
733192,2 BR Quiet 400²ft 1 Min walk to MTR Prime Location,3820308,David,,Yau Tsim Mong,22.32243,114.16974,Entire home/apt,853,3,78,2019-05-04,0.93,17,338
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31827,114.16853,Private room,384,28,15,2019-01-01,0.18,4,365
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31642,114.17003,Private room,282,28,42,2019-07-27,0.52,4,294
742349,2 Bed Rooms@Mongkok Langham Place,3776595,Sandy Sandy,,Yau Tsim Mong,22.31941,114.16734,Entire home/apt,853,4,218,2019-07-30,2.59,7,77
744230,Charming 1 BR appt + roof in Soho,3900338,Marie,,Central & Western,22.2822,114.1518,Entire home/apt,1010,2,7,2016-03-08,0.14,2,0
749904,Convenience !! 2BR High Lv@ Mongkok MTR Argyle St.,3934072,Oscar,,Kowloon City,22.3207,114.17329,Entire home/apt,830,1,172,2019-07-12,2.07,5,96
754511,"Best of Causeway Bay, Tai Hang",3970555,Quentin,,Wan Chai,22.27926,114.19207,Entire home/apt,720,4,14,2016-01-05,0.17,1,0
758472,"Lady Market, Mongkok MTR 2BR Apt",3934072,Oscar,,Yau Tsim Mong,22.31648,114.17241,Entire home/apt,1996,4,156,2019-08-12,1.87,5,356
764696,Single bed room with green view ,4031260,Jen Ai,,North,22.50262,114.13418,Private room,352,2,39,2019-07-06,0.47,2,319
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23011,114.21856,Entire home/apt,5089,90,5,2017-04-16,0.06,1,0
767500,Cozy Double Rm 1 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.30632,114.17079,Private room,329,1,198,2019-03-24,2.43,8,262
767707,MK superior house 2 rms fit 6 pp,3800609,Zoe,,Yau Tsim Mong,22.31841,114.16981,Entire home/apt,1018,1,144,2019-08-17,1.78,15,324
773468,"Modern, quiet apt with park view",80868,Daniel,,Central & Western,22.28427,114.1486,Entire home/apt,853,1,0,,,2,365
775458,Harbour Front + City Center + Cozy ,2007350,Mandy & Henry,,Wan Chai,22.28067,114.17878,Entire home/apt,1347,2,326,2019-08-31,3.92,1,34
775479,Tidy and clean sofa bed in living room,4090623,Lau,,Yau Tsim Mong,22.3195,114.16799,Shared room,102,7,189,2019-08-30,2.73,3,2
777196,"Budget offer! 2 BR, Jordan MTR",3776595,Sandy Sandy,,Yau Tsim Mong,22.30774,114.16798,Entire home/apt,1002,4,250,2019-08-09,3.01,7,61
777269,wifiCauseway Bay cozy stu 2mins>MTR,2283777,Jennifer,,Wan Chai,22.27912,114.18398,Private room,329,1,113,2019-06-17,1.38,16,365
782604,2BRs Serviced Apartment@KennedyTown,4127290,Stephen,,Central & Western,22.28346,114.13047,Entire home/apt,1002,27,28,2019-01-22,0.34,2,271
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28,114.15218,Entire home/apt,979,5,20,2018-08-26,0.26,1,351
793175,一個簡單的家......一個寧靜適合休息的家｡,4179437,佩茵,,Sha Tin,22.3702,114.17273,Shared room,204,1,0,,,1,0
801723,Lamma Island Holiday Bliss HK,4220176,Shaun,,Islands,22.22473,114.11388,Entire home/apt,548,5,0,,,1,58
811505,Boutique 1 bedroom Apartment  8 mins to Soho,4267218,Mandy,,Central & Western,22.28359,114.14685,Entire home/apt,900,3,36,2019-05-18,0.44,1,108
825843,"(25-3), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.3072,114.17009,Shared room,102,28,173,2018-05-05,2.39,7,365
825899,"(25-4), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.30553,114.17202,Shared room,102,28,132,2018-05-24,1.72,7,365
835609,For Big group (CH) in busy Wan Chai,1452499,Sally,,Wan Chai,22.27732,114.17578,Entire home/apt,939,3,245,2019-08-26,3.05,6,298
844447,Cozy Apartment in Wan Chai,4345080,Felix,,Wan Chai,22.27541,114.1707,Entire home/apt,767,1,27,2019-04-23,0.33,1,277
846482,Japanese style in Sai Ying Pun,4420092,Nicolas,,Central & Western,22.28638,114.14055,Entire home/apt,665,3,118,2019-09-07,1.47,1,321
846855,apartment in wan chai EE,3014654,Kenny,,Wan Chai,22.27666,114.17117,Private room,399,30,1,2013-01-02,0.01,2,365
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27812,114.18183,Entire home/apt,783,2,77,2019-08-31,1.08,1,103
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.27994,114.18966,Private room,305,2,487,2019-09-03,5.96,1,276
857837,Shared a 2 bed rm apt 3mins to MTR,4481461,Simon,,Wan Chai,22.27111,114.17399,Shared room,877,1,11,2017-11-10,0.14,8,365
